,timestamp,bng_subscribers,device_name,vendor,model,os,version,hw_revision,role,ip_address
0,1759276801,3187.6879384856134,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
1,1759277101,2943.0033281319334,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
2,1759277401,2766.2608649708395,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
3,1759277701,3240.283369495895,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
4,1759278001,3205.252325905399,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
5,1759278301,3328.911574043627,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
6,1759278601,3150.962280318394,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
7,1759278901,2904.082084284298,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
8,1759279201,3272.099979915322,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
9,1759279501,2799.4572577368576,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
10,1759279801,3017.052681396795,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
11,1759280101,2870.8759793666086,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
12,1759280401,2415.74982936666,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
13,1759280701,2355.15493436416,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
14,1759281001,2417.791751396188,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
15,1759281301,1914.4742714003976,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
16,1759281601,2031.7910867894186,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
17,1759281901,2149.297258290378,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
18,1759282201,1972.2191179162728,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
19,1759282501,2226.962906383035,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
20,1759282801,1925.9248154489444,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
21,1759283101,1805.265881071532,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
22,1759283401,1856.2813410288536,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
23,1759283701,1850.5505391977022,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
24,1759284001,1679.7946520111877,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
25,1759284301,1527.700955229839,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
26,1759284601,182.98686374628448,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
27,1759284901,1454.2822522855174,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
28,1759285201,1582.1169886578048,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
29,1759285501,1665.6053467238455,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
30,1759285801,1273.8821481610091,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
31,1759286101,1244.5750092449343,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
32,1759286401,1382.4962729050487,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
33,1759286701,1377.8298909093774,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
34,1759287001,1413.3849331597114,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
35,1759287301,1289.9004972541359,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
36,1759287601,1112.5426499354992,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
37,1759287901,1195.711660824437,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
38,1759288201,1227.5893669700008,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
39,1759288501,1173.433356200203,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
40,1759288801,1099.799687455573,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
41,1759289101,1065.1760861884209,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
42,1759289401,1041.7982270425273,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
43,1759289701,1061.07906900112,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
44,1759290001,939.9668699622756,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
45,1759290301,1059.9115494197922,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
46,1759290601,980.8454673627194,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
47,1759290901,1054.718897589795,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
48,1759291201,824.1394430434354,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
49,1759291501,881.9865464802923,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
50,1759291801,852.319884026026,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
51,1759292101,1002.0815278778696,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
52,1759292401,982.4734128660451,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
53,1759292701,1062.452145133959,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
54,1759293001,1047.1138523748523,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
55,1759293301,974.1818291002014,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
56,1759293601,916.5450695370884,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
